pathway	pval	padj	log2err	ES	NES	size
GINESTIER_BREAST_CANCER_ZNF217_AMPLIFIED_DN	1,00E-10	2.003e-07	NA	-0.583852945892482	-1.63523518823501	306
SEIDEN_ONCOGENESIS_BY_MET	1,00E-10	2.003e-07	NA	0.586350380841936	2.7301201546638	85
DE_YY1_TARGETS_DN	2.02473778929496e-10	2.7036998613052e-07	0.826657301178302	0.516125829154357	2.38742576506072	91
MARTENS_TRETINOIN_RESPONSE_UP	4.11686318902595e-10	4.12303848380949e-07	0.814035837847908	-0.548910036382307	-1.53911114763995	318
DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER	6.37153058550801e-10	5.10487030510902e-07	0.801215574617779	0.487608420473755	2.45570980426699	98
DAZARD_RESPONSE_TO_UV_SCC_UP	8.54575265551833e-09	5.70571418966774e-06	0.747739663149885	0.467397511464447	2.25932503377124	96
BLANCO_MELO_INFLUENZA_A_INFECTION_A594_CELLS_DN	8.11927231623173e-07	0.00046465435569749	0.659444398037935	-0.614415761490163	-1.68030129529508	102
NIKOLSKY_BREAST_CANCER_16P13_AMPLICON	1.14318961358961e-06	0.000508846399115554	0.643551836150722	-0.642220804676723	-1.73113461114145	79
OUELLET_OVARIAN_CANCER_INVASIVE_VS_LMP_UP	1.07981951367054e-06	0.000508846399115554	0.643551836150722	0.395836590348369	1.96849663647111	110
BLANCO_MELO_BETA_INTERFERON_TREATED_BRONCHIAL_EPITHELIAL_CELLS_DN	3.00471174542584e-06	0.00120368752521759	0.627256739718528	-0.589001006400443	-1.61859217395315	120
BURTON_ADIPOGENESIS_11	4.37514269371109e-06	0.0015933474210006	0.610526878385931	0.526587220560188	2.23410609350927	50
GHANDHI_BYSTANDER_IRRADIATION_UP	5.44122160859213e-06	0.00166437398787421	0.610526878385931	0.459126890029065	2.02278308314846	68
MIKKELSEN_IPS_LCP_WITH_H3K4ME3	5.81658408143757e-06	0.00166437398787421	0.610526878385931	-0.597623127541339	-1.63016000957042	99
RICKMAN_METASTASIS_DN	5.69002202141116e-06	0.00166437398787421	0.610526878385931	-0.53189588006372	-1.4769483366179	215
JOHNSTONE_PARVB_TARGETS_1_DN	9.43576820231446e-06	0.00251997916123145	0.593325476396405	0.473393821528208	2.1044385143362	61
SENGUPTA_EBNA1_ANTICORRELATED	1.18572010239348e-05	0.00296874670636767	0.593325476396405	-0.581466050464918	-1.60051664742642	116
CHIANG_LIVER_CANCER_SUBCLASS_INTERFERON_UP	1.51224862223221e-05	0.00337209251635894	0.593325476396405	0.745252163169545	2.4297676220208	16
KIM_GERMINAL_CENTER_T_HELPER_UP	1.51516887904296e-05	0.00337209251635894	0.593325476396405	0.467553017838823	2.00115217864068	59
